university,country,city
Harvard University,United States,Boston
Massachusetts Institute of Technology (MIT),United States,Boston
Stanford University,United States,Stanford
The London School of Economics (LSE),United Kingdom,London
University of Oxford,United Kingdom,Oxford
National Research University Higher School of Economics,Russia,Moscow
Lomonosov Moscow State University,Russia,Moscow
INSEAD,France,Fontainebleau
London Business School,United Kingdom,London
Saint Petersburg State University,Russia,Saint Petersburg
Plekhanov Russian University of Economics,Russia,Moscow
Financial University under the Government of the Russian Federation,Russia,Moscow
University of Amsterdam,Netherlands,Amsterdam
University of Southern California,United States,Los Angeles
University of Texas at Austin,United States,Austin
Carnegie Mellon University,United States,Pittsburgh
"University of California, Berkeley (UCB)",United States,Berkeley
ITMO University,Russia,Saint Petersburg
Moscow Institute of Physics and Technology (MIPT / Moscow Phytech),Russia,Moscow
Princeton University,United States,Princeton
New Economic School,Russia,Moscow
University of Cambridge,United Kingdom,Cambridge
Yale University,United States,New Haven
Kutafin Moscow State Law University (MSAL),Russia,Moscow
Moscow Institute of International Relations (MGIMO University),Russia,Moscow
Sciences Po,France,Paris
